Done in 9.838456153869629
3+00:00] Imported: 1, batch_size: 50
[2022-12-14 20:32:02.221032+00:00] Imported: 89, batch_size: 50
[2022-12-14 20:32:02.222404+00:00] Imported: 90, batch_size: 50
[2022-12-14 20:32:02.223797+00:00] Imported: 91, batch_size: 50
[2022-12-14 20:32:02.225121+00:00] Imported: 92, batch_size: 50
[2022-12-14 20:32:02.226454+00:00] Imported: 93, batch_size: 50
[2022-12-14 20:32:02.227797+00:00] Imported: 94, batch_size: 50
[2022-12-14 20:32:02.229171+00:00] Imported: 95, batch_size: 50
[2022-12-14 20:32:02.230512+00:00] Imported: 96, batch_size: 50
[2022-12-14 20:32:02.231917+00:00] Imported: 97, batch_size: 50
[2022-12-14 20:32:02.233312+00:00] Imported: 98, batch_size: 50
[2022-12-14 20:32:02.234793+00:00] Imported: 99, batch_size: 50
[2022-12-14 20:32:02.241648+00:00] Imported: 100, batch_size: 50
[2022-12-14 20:32:02.243315+00:00] Imported: 101, batch_size: 50
[2022-12-14 20:32:02.244689+00:00] Imported: 102, batch_size: 50
[2022-12-14 20:32:02.246219+00:00] Imported: 103, batch_size: 50
[2022-12-14 20:32:02.247707+00:00] Imported: 104, batch_size: 50
[2022-12-14 20:32:02.249136+00:00] Imported: 105, batch_size: 50
[2022-12-14 20:32:02.250538+00:00] Imported: 106, batch_size: 50
[2022-12-14 20:32:02.252125+00:00] Imported: 107, batch_size: 50
[2022-12-14 20:32:02.253648+00:00] Imported: 108, batch_size: 50
[2022-12-14 20:32:02.255024+00:00] Imported: 109, batch_size: 50
[2022-12-14 20:32:02.256796+00:00] Imported: 110, batch_size: 50
[2022-12-14 20:32:02.258300+00:00] Imported: 111, batch_size: 50
[2022-12-14 20:32:02.259723+00:00] Imported: 112, batch_size: 50
[2022-12-14 20:32:02.261095+00:00] Imported: 113, batch_size: 50
[2022-12-14 20:32:02.262438+00:00] Imported: 114, batch_size: 50
[2022-12-14 20:32:02.263912+00:00] Imported: 115, batch_size: 50
[2022-12-14 20:32:02.265729+00:00] Imported: 116, batch_size: 50
[2022-12-14 20:32:02.267195+00:00] Imported: 117, batch_size: 50
[2022-12-14 20:32:02.268607+00:00] Imported: 118, batch_size: 50
[2022-12-14 20:32:02.270026+00:00] Imported: 119, batch_size: 50
[2022-12-14 20:32:02.271404+00:00] Imported: 120, batch_size: 50
[2022-12-14 20:32:02.272985+00:00] Imported: 121, batch_size: 50
[2022-12-14 20:32:02.274590+00:00] Imported: 122, batch_size: 50
[2022-12-14 20:32:02.276198+00:00] Imported: 123, batch_size: 50
[2022-12-14 20:32:02.277863+00:00] Imported: 124, batch_size: 50
[2022-12-14 20:32:02.279398+00:00] Imported: 125, batch_size: 50
[2022-12-14 20:32:02.280873+00:00] Imported: 126, batch_size: 50
[2022-12-14 20:32:02.282267+00:00] Imported: 127, batch_size: 50
[2022-12-14 20:32:02.283677+00:00] Imported: 128, batch_size: 50
[2022-12-14 20:32:02.285556+00:00] Imported: 129, batch_size: 50
[2022-12-14 20:32:02.287030+00:00] Imported: 130, batch_size: 50
[2022-12-14 20:32:02.288460+00:00] Imported: 131, batch_size: 50
[2022-12-14 20:32:02.289861+00:00] Imported: 132, batch_size: 50
[2022-12-14 20:32:02.291236+00:00] Imported: 133, batch_size: 50
[2022-12-14 20:32:02.293401+00:00] Imported: 134, batch_size: 50
[2022-12-14 20:32:02.296603+00:00] Imported: 135, batch_size: 50
[2022-12-14 20:32:02.298375+00:00] Imported: 136, batch_size: 50
[2022-12-14 20:32:02.300640+00:00] Imported: 137, batch_size: 50
[2022-12-14 20:32:02.302283+00:00] Imported: 138, batch_size: 50
[2022-12-14 20:32:02.303740+00:00] Imported: 139, batch_size: 50
[2022-12-14 20:32:02.305229+00:00] Imported: 140, batch_size: 50
[2022-12-14 20:32:02.306716+00:00] Imported: 141, batch_size: 50
[2022-12-14 20:32:02.308152+00:00] Imported: 142, batch_size: 50
[2022-12-14 20:32:02.309581+00:00] Imported: 143, batch_size: 50
[2022-12-14 20:32:02.311023+00:00] Imported: 144, batch_size: 50
[2022-12-14 20:32:02.312377+00:00] Imported: 145, batch_size: 50
[2022-12-14 20:32:02.313751+00:00] Imported: 146, batch_size: 50
[2022-12-14 20:32:02.315150+00:00] Imported: 147, batch_size: 50
[2022-12-14 20:32:02.316680+00:00] Imported: 148, batch_size: 50
[2022-12-14 20:32:02.318189+00:00] Imported: 149, batch_size: 50
[2022-12-14 20:32:02.319564+00:00] Imported: 150, batch_size: 50
[2022-12-14 20:32:02.320983+00:00] Imported: 151, batch_size: 50
[2022-12-14 20:32:02.322462+00:00] Imported: 152, batch_size: 50
